City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1799,Inhambane,MZ,75.18,Few clouds,-23.865,35.3833,Oceano
1807,Teknaf,BD,79.27,Overcast clouds,20.8624,92.3058,Forestry Guesthouse
1813,Castro,BR,76.39,Scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
1815,Minab,IR,89.1,Clear sky,27.1467,57.0801,Bam campground
1818,Nagua,DO,86.65,Light rain,19.3832,-69.8474,Hotel Cambri
1819,Garowe,SO,86.59,Light rain,8.4054,48.4845,Curubo Hotel
1820,Puerto Ayora,EC,76.96,Overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1821,Adre,TD,75.58,Overcast clouds,13.4667,22.2,
1825,Hamilton,US,76.5,Clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
1829,Port Blair,IN,79.43,Overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
1830,Hithadhoo,MV,82.96,Overcast clouds,-0.6,73.0833,Scoop Guest House
1835,Butaritari,KI,83.75,Overcast clouds,3.0707,172.7902,Isles Sunset Lodge
