City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,Lorengau,-2.0226,147.2712,85.73,65,23,7.78,PG,2021-09-26 01:22:18
202,Sobolevo,54.4299,31.8996,48.51,90,100,13.22,RU,2021-09-26 01:22:18
203,Kapaa,22.0752,-159.319,84.18,71,75,4.0,US,2021-09-26 01:12:18
204,Lebu,-37.6167,-73.65,48.24,85,20,9.55,CL,2021-09-26 01:22:19
205,Punta Arenas,-53.15,-70.9167,35.71,87,40,5.75,CL,2021-09-26 01:10:30
206,Sitka,57.0531,-135.33,51.69,71,90,5.75,US,2021-09-26 01:13:50
207,Aqtobe,50.2797,57.2072,50.09,71,0,8.95,KZ,2021-09-26 01:22:19
208,Lazarev,52.225,141.5131,59.05,64,19,4.94,RU,2021-09-26 01:22:19
209,Kasempa,-13.4584,25.8338,64.09,35,5,6.49,ZM,2021-09-26 01:22:20
210,Cabo San Lucas,22.8909,-109.9124,87.62,71,50,5.99,MX,2021-09-26 01:13:00
211,Busselton,-33.65,115.3333,59.04,79,52,1.19,AU,2021-09-26 01:12:08
212,Constitucion,-35.3333,-72.4167,51.19,91,0,6.73,CL,2021-09-26 01:22:20
213,Peniche,39.3558,-9.3811,65.62,93,100,4.23,PT,2021-09-26 01:22:21
214,Barra Patuca,15.8,-84.2833,78.24,87,100,8.84,HN,2021-09-26 01:22:21
215,Douglas,41.3,-96.167,72.46,52,1,3.0,US,2021-09-26 01:22:21
216,Ushuaia,-54.8,-68.3,37.06,81,40,21.85,AR,2021-09-26 01:10:05
217,Punta Arenas,-53.15,-70.9167,35.71,87,40,5.75,CL,2021-09-26 01:10:30
218,Sitka,57.0531,-135.33,51.69,71,90,5.75,US,2021-09-26 01:09:16
219,Darab,28.7519,54.5444,74.12,17,0,1.88,IR,2021-09-26 01:22:22
220,Axim,4.8699,-2.2405,76.23,89,100,4.23,GH,2021-09-26 01:22:22
221,Ushuaia,-54.8,-68.3,37.06,81,40,21.85,AR,2021-09-26 01:10:05
222,Horsham,51.064,-0.3272,59.97,93,100,3.44,GB,2021-09-26 01:22:22
223,Tallahassee,30.4383,-84.2807,78.64,80,75,0.0,US,2021-09-26 01:22:23
224,Ribeira Grande,38.5167,-28.7,71.58,84,100,2.8,PT,2021-09-26 01:14:06
225,Cape Town,-33.9258,18.4232,60.28,87,26,1.01,ZA,2021-09-26 01:11:28
226,Lakes Entrance,-37.8811,147.981,56.16,53,4,4.65,AU,2021-09-26 01:22:23
227,Progreso,21.2833,-89.6667,82.51,83,20,10.49,MX,2021-09-26 01:22:24
228,Kieta,-6.2167,155.6333,83.68,74,16,4.56,PG,2021-09-26 01:22:24
229,Bluff,-46.6,168.3333,47.8,57,72,14.81,NZ,2021-09-26 01:12:54
230,Airai,-8.9266,125.4092,75.69,37,61,2.53,TL,2021-09-26 01:12:34
231,Puerto Ayora,-0.7393,-90.3518,69.51,90,92,8.43,EC,2021-09-26 01:12:49
232,Tasiilaq,65.6145,-37.6368,39.36,60,100,9.75,GL,2021-09-26 01:22:00
233,Meadow Lake,34.8014,-106.5436,69.67,51,100,15.03,US,2021-09-26 01:22:25
234,San Carlos De Bariloche,-41.1456,-71.3082,38.95,70,75,5.75,AR,2021-09-26 01:20:27
235,Ushuaia,-54.8,-68.3,37.06,81,40,21.85,AR,2021-09-26 01:10:05
236,Saint-Philippe,-21.3585,55.7679,67.55,87,68,12.73,RE,2021-09-26 01:13:02
237,Taltal,-25.4,-70.4833,63.52,67,9,4.9,CL,2021-09-26 01:22:25
238,Barrow,71.2906,-156.7887,24.82,86,75,6.91,US,2021-09-26 01:13:14
239,Albany,42.6001,-73.9662,61.59,86,100,1.99,US,2021-09-26 01:13:30
240,Hermanus,-34.4187,19.2345,59.9,90,65,6.46,ZA,2021-09-26 01:12:26
241,Port Elizabeth,-33.918,25.5701,61.09,72,0,12.66,ZA,2021-09-26 01:21:10
242,Klaksvik,62.2266,-6.589,52.72,94,100,29.06,FO,2021-09-26 01:22:10
243,Punta Arenas,-53.15,-70.9167,35.71,87,40,5.75,CL,2021-09-26 01:12:31
244,Aklavik,68.2191,-135.0107,32.83,95,100,16.87,CA,2021-09-26 01:22:26
245,Hermanus,-34.4187,19.2345,59.9,90,65,6.46,ZA,2021-09-26 01:12:28
246,Hobart,-42.8794,147.3294,54.1,56,20,4.0,AU,2021-09-26 01:12:42
247,Kapaa,22.0752,-159.319,84.18,71,75,3.0,US,2021-09-26 01:22:26
248,Port-Gentil,-0.7193,8.7815,77.09,87,100,12.12,GA,2021-09-26 01:22:26
249,Necochea,-38.5473,-58.7368,53.04,90,98,13.11,AR,2021-09-26 01:22:27
